TrialNumber,Ppn,DoorClicked,Won,TotalAmount,PAscore,NAscore,Time_msec
1,1,3,-0.71,2.29,0.225625,0.727395833333333,258331
2,1,2,3.06,5.35,0.5,0.5,262395
3,1,0,3.42,8.77,0.746458333333333,0.0607291666666666,268124
4,1,1,0.92,9.69,0.163125,0.0659375,274378
5,1,2,-2.5,7.19,0.0433333333333334,0.435729166666666,279026
6,1,1,-3.94,3.25,0.0329166666666666,0.857604166666667,283791
7,1,2,0.78,4.03,0.256875,0.289895833333333,290161
8,1,1,3.81,7.84,0.673541666666667,0.164895833333333,294833
9,1,1,-3.37,4.47,0.0589583333333334,0.7534375,299369
10,1,3,-3.81,0.66,0.0641666666666667,0.633645833333333,304987
11,1,1,3.32,3.98,0.663125,0.0711458333333332,310470
12,1,1,3.65,7.63,0.720416666666667,0.0607291666666666,315485
13,1,1,-3.1,4.53,0.246458333333333,0.701354166666667,319928
14,1,1,-3.37,1.16,0.293333333333333,0.680520833333333,324567
15,1,1,1.13,2.29,0.0120833333333334,0.0503125,329012
16,1,2,-3.82,-1.53,0.0225,0.935729166666667,333608
17,1,1,-3.19,-4.72,0.0172916666666667,0.966979166666667,338144
18,1,2,-0.77,-5.49,0.0485416666666667,0.670104166666667,342578
19,1,1,3.82,-1.67,0.0433333333333334,0.7534375,347210
20,1,3,-1.23,-2.9,0.0641666666666667,0.789895833333333,351645
21,1,0,-3.45,-6.35,0.0277083333333333,0.982604166666667,356040
22,1,3,3.9,-2.45,0.05375,0.685729166666667,361464
23,1,3,-0.84,-3.29,0.0277083333333333,0.7534375,365781
24,1,1,-0.62,-3.91,0.05375,0.602395833333333,370226
25,1,2,0.74,-3.17,0.0641666666666667,0.664895833333333,375092
26,1,1,3.77,0.599999999999999,0.0172916666666667,0,379704
27,1,2,3.47,4.07,0.361041666666667,0.0451041666666665,384005
28,1,1,-3.24,0.829999999999999,0.038125,0.555520833333333,388305
29,1,2,3.21,4.04,0.298541666666667,0.2065625,392576
30,1,0,1.07,5.11,0.381875,0.107604166666667,397827
31,1,0,-0.84,4.27,0.0433333333333334,0.0815624999999998,402669
32,1,2,1.47,5.74,0.277708333333333,0.0763541666666667,407051
33,1,3,4.26,10,0.381875,0.0242708333333333,411785
34,1,0,-3.35,6.65,0.0485416666666667,0.2534375,416210
35,1,2,-0.43,6.22,0.0277083333333333,0.4878125,421322
36,1,3,1.25,7.47,0.038125,0.0555208333333334,426214
37,1,1,1.51,8.98,0.282916666666667,0.1909375,430725
38,1,0,3.76,12.74,0.694375,0.0867708333333333,436328
39,1,1,0.55,13.29,0.663125,0.0659375,441116
40,1,3,3.35,16.64,0.907916666666667,0.0919791666666667,445857
41,1,1,-1.05,15.59,0.0485416666666667,0.0763541666666667,450649
42,1,2,0.92,16.51,0.751666666666667,0.0659375,455253
43,1,1,-3.09,13.42,0.038125,0.508645833333333,459673
44,1,3,-3.97,9.45,0.038125,0.8784375,464145
45,1,2,1.05,10.5,0.0225,0.0451041666666665,468820
46,1,1,3.02,13.52,0.407916666666667,0.0971874999999999,473225
47,1,0,-3.83,9.69,0.00687500000000008,0.529479166666667,478452
48,1,2,-1.19,8.5,0.152708333333333,0.852395833333333,483063
49,1,1,1.47,9.97,0.220416666666667,0.1128125,487458
50,1,0,0.94,10.91,0.0902083333333334,0.0971874999999999,491703
51,1,1,-3.89,7.02,0.069375,0.727395833333333,496204
52,1,3,3.53,10.55,0.798541666666667,0.0971874999999999,501189
53,1,2,3.62,14.17,0.631875,0.0971874999999999,506105
54,1,3,3.78,17.95,0.694375,0.102395833333333,510332
55,1,1,-3.4,14.55,0.069375,0.6128125,514992
56,1,0,-3.69,10.86,0.0902083333333334,0.7221875,519347
57,1,1,-0.82,10.04,0.17875,0.810729166666667,523878
58,1,2,0.69,10.73,0.183958333333333,0.102395833333333,528157
59,1,3,3.17,13.9,0.496458333333333,0.1128125,532303
60,1,1,-0.31,13.59,0.0641666666666667,0.0815624999999998,536664
61,1,3,3.7,17.29,0.74125,0.107604166666667,540885
62,1,1,0.66,17.95,0.17875,0.107604166666667,545396
63,1,3,1.02,18.97,0.137083333333333,0.0919791666666667,550008
64,1,1,-3.22,15.75,0.157916666666667,0.388854166666667,554408
65,1,3,-3.01,12.74,0.0902083333333334,0.7378125,559139
66,1,0,-3.92,8.82,0.0954166666666667,0.7378125,563499
67,1,1,-0.74,8.08,0.11625,0.2690625,567947
68,1,3,-3.77,4.31,0.126666666666667,0.696145833333333,572969
69,1,0,1.37,5.68,0.111041666666667,0.107604166666667,577708
